MYC,BCL2,BCL6
68.68,93.06,78.26
65.8311484,87.30991085,70.56109072
71.47369778,85.07607014,70.26817947
61.90001992,80.66786165,77.22233287
64.25684778,88.33408172,66.36731028
68.42620616,85.57949083,58.94605661
43.11543811,85.17037552,66.67246175
54.57046603,90.39865244,59.79225154
53.12635693,92.27095093,61.38732089
53.55302896,76.90531178,59.13128442
55.16435582,80.14488238,60.32092226
67.67697524,74.48885236,68.98181445
52.42502777,76.73084043,73.65790448
60.26564138,71.01712688,71.37364558
73.29132332,85.37930199,67.00799806
66.57948271,77.2159256,70.56088346
63.71170729,80.23819756,64.73079993
62.72497632,84.90685191,65.81938743
55.38095238,93.33333333,66
78.42622951,87.56721311,51.06885246
81.61060012,78.49745932,56.49964623
63.60693035,93.27966398,52.96639832
64.76357268,74.26269702,46.10157618
48.86923077,84.67692308,66.90769231
49.31304164,80.87085183,62.31945325
45.51814604,85.14793762,63.95569159
42.53938832,93.15724436,55.84646277
49.27000379,91.6571862,59.94501327
46.32367835,93.60947944,56.7044764
41.75267065,91.14611624,59.69581749
45.48624564,92.05088467,52.77024409
44.55682236,93.41669732,65.75947039
41.97586557,87.14334048,62.69313184
41.36381657,88.27804943,69.68415488
43.62313569,86.58421244,68.39578028
47.36586314,81.03615863,55.47239502
41.59006454,75.97300997,55.554469
52.56769374,81.1806204,56.87311962
53.70988447,74.58279846,56.09756098
47.58236189,74.16117587,54.53623923
51.74667568,65.17166253,53.77507325
44.52239611,64.75984889,55.26173772
44.17685119,67.36161035,57.04529116
43.17808219,70.50228311,45.05936073
56.95898404,69.7442938,58.57216406
57.55937308,70.44692355,41.6193279
53.69343818,65.99200722,46.12607967
46.1123564,73.31185206,44.21406556
47.59016285,71.89951869,84.11023934
50.0548957,61.47320092,77.09352231
51.3407185,55.92711461,70.97007972
42.67639903,63.60097324,73.7810219
37.37936154,58.48799802,71.97475872
45.72568217,39.95104705,60.86483546
42.02198981,46.68812014,62.85867525
28.85787616,48.50818094,65.92877767
61.11311673,49.58483755,65.73405535
68.78923767,35.2735426,65.19282511
22.88920788,57.32741746,64.36121623
12.59063296,56.81951793,62.54164217
16.71619614,55.21545319,55.23031204
14.32900433,57.14285714,47.81385281
13.96175216,61.04793901,72.58043675
5.100226813,50.02145528,69.98712683
29.56737103,91.40538547,74.89592665
29.05167696,93.6908764,72.98100227
23.18027211,94.47278912,76.01190476
